delivery_id,order_id,delivery_status,delivery_time,rider_id
1,O1,notdelivered,7:43:00 AM,R1
2,O2,notdelivered,6:34:00 AM,R2
3,O3,delivered,11:12:00 PM,R3
4,O4,delivered,1:23:00 PM,R4
5,O5,notdelivered,8:31:00 PM,R5
6,O6,notdelivered,10:43:00 PM,R6
7,O7,notdelivered,8:45:00 PM,R7
8,O8,notdelivered,3:44:00 AM,R1
9,O9,delivered,7:49:00 PM,R2
10,O10,notdelivered,4:11:00 AM,R3
11,O11,notdelivered,6:34:00 PM,R4
12,O12,delivered,7:20:00 PM,R5
13,O13,notdelivered,3:41:00 AM,R6
14,O14,delivered,8:37:00 PM,R7
15,O15,delivered,1:01:00 PM,R1
16,O16,delivered,4:50:00 AM,R2
17,O17,notdelivered,3:54:00 PM,R3
18,O18,notdelivered,9:49:00 PM,R4
19,O19,notdelivered,8:38:00 AM,R5
20,O20,delivered,5:02:00 PM,R6
21,O21,notdelivered,2:01:00 PM,R7
22,O22,notdelivered,3:00:00 AM,R1
23,O23,delivered,1:11:00 PM,R2
24,O24,delivered,1:00:00 AM,R3
25,O25,notdelivered,8:23:00 PM,R4
26,O26,delivered,9:18:00 AM,R5
27,O27,delivered,11:37:00 PM,R6
28,O28,notdelivered,7:19:00 AM,R7
29,O29,notdelivered,1:49:00 AM,R6
30,O30,delivered,12:45:00 AM,R7
31,O31,delivered,4:06:00 PM,R1
32,O32,notdelivered,5:29:00 AM,R2
33,O33,notdelivered,6:06:00 PM,R3
34,O34,notdelivered,2:31:00 AM,R4
35,O35,delivered,3:04:00 AM,R5
36,O36,delivered,12:22:00 AM,R6
37,O37,notdelivered,4:24:00 AM,R7
38,O38,notdelivered,12:36:00 PM,R1
39,O39,notdelivered,6:51:00 PM,R2
40,O40,delivered,7:57:00 PM,R3
41,O41,notdelivered,5:22:00 PM,R4
42,O42,notdelivered,7:33:00 AM,R1
43,O43,delivered,11:57:00 AM,R2
44,O44,notdelivered,3:38:00 AM,R3
45,O45,notdelivered,11:33:00 AM,R4
46,O46,delivered,11:49:00 AM,R5
47,O47,delivered,4:03:00 PM,R6
48,O48,delivered,4:52:00 PM,R7
49,O49,notdelivered,2:59:00 PM,R6
50,O50,notdelivered,9:17:00 PM,R7
51,O51,delivered,5:35:00 PM,R1
52,O52,delivered,7:42:00 PM,R2
53,O53,delivered,5:23:00 PM,R3
54,O54,delivered,9:42:00 AM,R4
55,O55,notdelivered,11:54:00 PM,R5
56,O56,delivered,10:03:00 AM,R6
57,O57,notdelivered,8:14:00 AM,R7
58,O58,delivered,5:13:00 AM,R1
59,O59,delivered,10:08:00 AM,R2
60,O60,delivered,8:09:00 AM,R3
61,O61,delivered,6:12:00 PM,R4
62,O62,notdelivered,7:29:00 PM,R5
63,O63,notdelivered,3:14:00 AM,R6
64,O64,notdelivered,3:05:00 PM,R7
65,O65,delivered,1:01:00 PM,R1
66,O66,delivered,11:32:00 AM,R2
67,O67,delivered,7:30:00 PM,R3
68,O68,delivered,10:53:00 AM,R4
69,O69,notdelivered,3:25:00 AM,R5
70,O70,delivered,4:56:00 AM,R6
71,O71,notdelivered,5:46:00 PM,R7
72,O72,delivered,3:01:00 PM,R1
73,O73,delivered,4:10:00 AM,R2
74,O74,notdelivered,5:02:00 PM,R3
75,O75,delivered,1:50:00 AM,R4
76,O76,notdelivered,1:10:00 AM,R5
77,O77,notdelivered,9:44:00 AM,R6
78,O78,notdelivered,2:49:00 AM,R7
79,O79,notdelivered,11:09:00 PM,R1
80,O80,delivered,12:20:00 PM,R2
81,O81,delivered,5:03:00 PM,R3
82,O82,delivered,1:52:00 PM,R4
83,O83,delivered,4:03:00 AM,R5
84,O84,delivered,11:56:00 PM,R6
85,O85,delivered,8:07:00 PM,R7
86,O86,notdelivered,6:51:00 PM,R6
87,O87,delivered,12:33:00 PM,R7
88,O88,notdelivered,6:19:00 PM,R1
89,O89,notdelivered,4:29:00 AM,R2
90,O90,notdelivered,1:24:00 PM,R3
91,O91,delivered,1:23:00 PM,R4
92,O92,notdelivered,6:57:00 PM,R5
93,O93,notdelivered,11:30:00 PM,R6
94,O94,delivered,10:06:00 AM,R7
95,O95,delivered,3:07:00 PM,R1
96,O96,notdelivered,12:16:00 AM,R2
97,O97,notdelivered,11:06:00 PM,R3
98,O98,delivered,9:51:00 AM,R4
99,O99,notdelivered,9:06:00 PM,R1
100,O100,notdelivered,4:31:00 AM,R2
101,O101,notdelivered,12:25:00 AM,R3
102,O102,delivered,11:25:00 AM,R4
103,O103,delivered,9:01:00 AM,R5
104,O104,notdelivered,6:55:00 PM,R6
105,O105,notdelivered,9:12:00 PM,R7
106,O106,delivered,12:03:00 PM,R6
107,O107,notdelivered,11:42:00 AM,R7
108,O108,notdelivered,11:01:00 AM,R1
109,O109,delivered,9:00:00 AM,R2
110,O110,notdelivered,2:06:00 PM,R3
111,O111,notdelivered,11:29:00 AM,R4
112,O112,delivered,9:25:00 PM,R5
113,O113,notdelivered,6:49:00 PM,R6
114,O114,notdelivered,6:58:00 AM,R7
115,O115,notdelivered,12:54:00 AM,R5
116,O116,notdelivered,11:01:00 AM,R6
117,O117,delivered,11:07:00 PM,R7
118,O118,notdelivered,9:15:00 AM,R6
119,O119,delivered,11:42:00 AM,R7
120,O120,notdelivered,1:26:00 PM,R1
121,O121,notdelivered,5:47:00 AM,R2
122,O122,delivered,1:50:00 AM,R3
123,O123,delivered,8:09:00 AM,R4
124,O124,notdelivered,9:44:00 PM,R5
125,O125,delivered,10:56:00 PM,R6
126,O126,delivered,9:26:00 AM,R7
127,O127,delivered,8:32:00 PM,R1
128,O128,notdelivered,5:50:00 AM,R2
129,O129,notdelivered,5:08:00 AM,R3
130,O130,delivered,12:51:00 AM,R4
131,O131,notdelivered,11:51:00 PM,R5
