order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
O1,C1,R1,Yucca,6/22/2025,4:45:00 PM,Not fulfilled,44.4
O2,C2,R2,Sandwich Wrap,4/5/2026,6:43:00 AM,Not fulfilled,27
O3,C3,R3,Dikon,4/29/2026,11:56:00 AM,completed,21.4
O4,C4,R4,Crab Brie In Phyllo,5/25/2026,6:43:00 PM,completed,22.7
O5,C5,R5,Crab Brie In Phyllo,10/31/2025,12:37:00 PM,Not fulfilled,41.8
O6,C6,R6,Crab Brie In Phyllo,12/17/2025,9:32:00 PM,Not fulfilled,23.8
O7,C7,R7,Crab Brie In Phyllo,1/17/2026,10:43:00 AM,Not fulfilled,8.6
O8,C8,R8,Crab Brie In Phyllo,11/25/2025,7:44:00 AM,Not fulfilled,39.7
O9,C9,R9,Crab Brie In Phyllo,7/2/2025,1:00:00 AM,completed,21
O10,C10,R10,Crab Brie In Phyllo,6/9/2025,7:20:00 AM,Not fulfilled,15.6
O11,C11,R11,Crab Brie In Phyllo,8/24/2025,12:23:00 PM,Not fulfilled,47.1
O12,C12,R12,Crab Brie In Phyllo,7/19/2025,3:25:00 AM,completed,40.2
O13,C13,R13,Crab Brie In Phyllo,9/27/2025,5:39:00 PM,Not fulfilled,26.1
O14,C14,R14,Crab Brie In Phyllo,10/4/2025,7:12:00 PM,completed,22.7
O15,C15,R15,Crab Brie In Phyllo,6/9/2025,3:52:00 AM,completed,49.8
O16,C16,R16,Crab Brie In Phyllo,4/16/2026,11:28:00 AM,completed,20.8
O17,C17,R17,Crab Brie In Phyllo,9/24/2025,6:04:00 AM,Not fulfilled,32
O18,C18,R18,Crab Brie In Phyllo,6/13/2025,6:31:00 PM,Not fulfilled,18.6
O19,C19,R19,Crab Brie In Phyllo,2/26/2026,7:04:00 AM,Not fulfilled,31.3
O20,C20,R20,Sandwich Wrap,1/22/2026,9:27:00 AM,completed,49.6
O21,C1,R21,Sandwich Wrap,3/4/2026,12:14:00 AM,Not fulfilled,29.5
O22,C2,R22,Sandwich Wrap,9/16/2025,12:36:00 AM,Not fulfilled,35.5
O23,C3,R23,Sandwich Wrap,12/26/2025,1:05:00 PM,completed,42.3
O24,C4,R24,Sandwich Wrap,3/28/2026,3:14:00 AM,completed,45.1
O25,C5,R25,Dikon,6/17/2025,7:47:00 AM,Not fulfilled,25.3
O26,C6,R26,Sandwich Wrap,4/7/2026,9:00:00 PM,completed,49.5
O27,C7,R27,Sandwich Wrap,12/2/2025,3:32:00 PM,completed,44.6
O28,C8,R28,Sandwich Wrap,10/22/2025,12:30:00 AM,Not fulfilled,25.5
O29,C9,R1,Sandwich Wrap,7/14/2025,3:34:00 PM,Not fulfilled,7.4
O30,C10,R2,Sandwich Wrap,4/12/2026,1:17:00 PM,completed,33.1
O31,C11,R3,Sandwich Wrap,11/24/2025,11:31:00 AM,completed,47.9
O32,C12,R4,Sandwich Wrap,10/11/2025,9:32:00 PM,Not fulfilled,30.4
O33,C13,R5,Sandwich Wrap,2/10/2026,10:58:00 AM,Not fulfilled,10.5
O34,C14,R6,Sandwich Wrap,5/27/2026,2:04:00 AM,Not fulfilled,49.6
O35,C15,R7,Sandwich Wrap,12/1/2025,6:05:00 PM,completed,6.6
O36,C16,R8,Crab Brie In Phyllo,9/16/2025,5:49:00 AM,completed,43.7
O37,C17,R9,Crab Brie In Phyllo,5/12/2026,11:31:00 PM,Not fulfilled,46
O38,C18,R10,Crab Brie In Phyllo,12/10/2025,1:24:00 AM,Not fulfilled,27.7
O39,C19,R11,Crab Brie In Phyllo,9/9/2025,6:35:00 PM,Not fulfilled,20.7
O40,C20,R12,Crab Brie In Phyllo,2/18/2026,9:59:00 AM,completed,45.6
O41,C5,R13,Crab Brie In Phyllo,1/26/2026,8:56:00 PM,Not fulfilled,8.4
O42,C6,R14,Crab Brie In Phyllo,8/20/2025,8:14:00 AM,Not fulfilled,34.2
O43,C7,R15,Crab Brie In Phyllo,6/24/2025,2:03:00 PM,completed,5.3
O44,C8,R16,Crab Brie In Phyllo,1/15/2026,3:40:00 AM,Not fulfilled,17.7
O45,C9,R17,Crab Brie In Phyllo,4/15/2026,10:15:00 AM,Not fulfilled,19.6
O46,C10,R18,Crab Brie In Phyllo,12/21/2025,8:10:00 AM,completed,41.1
O47,C11,R19,Crab Brie In Phyllo,1/7/2026,10:45:00 AM,completed,7.1
O48,C12,R20,Crab Brie In Phyllo,11/27/2025,2:12:00 AM,completed,34
O49,C13,R3,Crab Brie In Phyllo,3/31/2026,6:46:00 PM,Not fulfilled,40
O50,C14,R4,Crab Brie In Phyllo,9/13/2025,11:25:00 AM,Not fulfilled,12.5
O51,C15,R5,Sandwich Wrap,4/2/2026,7:38:00 AM,completed,29.8
O52,C16,R6,Sandwich Wrap,4/10/2026,3:22:00 PM,completed,48.1
O53,C17,R7,Sandwich Wrap,4/17/2026,1:19:00 AM,completed,18.4
O54,C18,R8,Sandwich Wrap,1/27/2026,11:32:00 PM,completed,14.9
O55,C19,R9,Sandwich Wrap,4/23/2026,2:30:00 AM,Not fulfilled,33.8
O56,C20,R10,Sandwich Wrap,12/2/2025,9:46:00 PM,completed,30.7
O57,C1,R11,Sandwich Wrap,12/23/2025,6:18:00 AM,Not fulfilled,20.1
O58,C2,R12,Sandwich Wrap,12/25/2025,8:14:00 PM,completed,45.4
O59,C3,R13,Sandwich Wrap,4/21/2026,12:55:00 AM,completed,25.9
O60,C4,R14,Sandwich Wrap,1/22/2026,2:33:00 PM,completed,28.9
O61,C5,R15,Sandwich Wrap,6/28/2025,8:43:00 PM,completed,42.5
O62,C5,R16,Crab Brie In Phyllo,10/10/2025,1:21:00 PM,Not fulfilled,5.1
O63,C6,R17,Crab Brie In Phyllo,6/13/2025,11:44:00 AM,Not fulfilled,13.1
O64,C7,R12,Crab Brie In Phyllo,12/14/2025,6:14:00 AM,Not fulfilled,15.7
O65,C8,R13,Sandwich Wrap,12/13/2025,8:15:00 PM,completed,44.6
O66,C9,R14,Sandwich Wrap,9/9/2025,3:14:00 AM,completed,49
O67,C10,R15,Sandwich Wrap,4/23/2026,9:42:00 AM,completed,24.5
O68,C11,R16,Sandwich Wrap,6/26/2025,10:08:00 AM,completed,23.6
O69,C12,R17,Sandwich Wrap,10/11/2025,8:05:00 PM,Not fulfilled,39
O70,C13,R12,Sandwich Wrap,1/15/2026,11:20:00 PM,completed,40.4
O71,C14,R13,Sandwich Wrap,12/7/2025,3:01:00 PM,Not fulfilled,32.3
O72,C15,R14,Sandwich Wrap,4/19/2026,5:16:00 PM,completed,33.1
O73,C16,R15,Sandwich Wrap,1/17/2026,7:54:00 AM,completed,31.4
O74,C17,R16,Sandwich Wrap,8/22/2025,1:58:00 AM,Not fulfilled,16.2
O75,C18,R17,Sandwich Wrap,5/30/2026,10:51:00 PM,completed,41
O76,C19,R14,Sandwich Wrap,1/11/2026,1:47:00 PM,Not fulfilled,45.5
O77,C20,R15,Sandwich Wrap,8/18/2025,11:23:00 AM,Not fulfilled,42.9
O78,C5,R16,Lettuce Romaine Chopped,6/14/2025,8:05:00 PM,Not fulfilled,28.9
O79,C6,R17,Lettuce Romaine Chopped,7/18/2025,6:08:00 PM,Not fulfilled,41.8
O80,C7,R12,Lettuce Romaine Chopped,7/7/2025,1:30:00 PM,completed,6.9
O81,C8,R13,Lettuce Romaine Chopped,6/27/2025,12:59:00 PM,completed,31.3
O82,C9,R14,Lettuce Romaine Chopped,1/20/2026,3:02:00 AM,completed,23.4
O83,C10,R15,Lettuce Romaine Chopped,12/18/2025,6:42:00 PM,completed,40.1
O84,C11,R16,Lettuce Romaine Chopped,4/17/2026,7:05:00 PM,completed,9.4
O85,C12,R17,Lettuce Romaine Chopped,9/7/2025,3:04:00 PM,completed,43.8
O86,C13,R12,Lettuce Romaine Chopped,2/11/2026,8:56:00 PM,Not fulfilled,28.2
O87,C14,R13,Lettuce Romaine Chopped,3/19/2026,12:32:00 AM,completed,14.2
O88,C15,R14,Lettuce Romaine Chopped,3/16/2026,1:37:00 AM,Not fulfilled,25.5
