restaurant_id,restaurant_name,city,opening_hours
R1,Pfannerstill-Hilll,Manley,14
R2,Welch-Funk,Eagle Crest,13
R3,"Lebsack, Kris and Kuhic",Florence,7
R4,Lemke-Bode,Dryden,21
R5,Lesch Group,Florence,24
R6,Larson LLC,Riverside,19
R7,Haley Inc,Gulseth,17
R8,"Nolan, Hegmann and Schimmel",Pepper Wood,20
R9,Welch Group,Kim,9
R10,Smitham Group,Blackbird,5
R11,"Sauer, Lesch and Fisher",Carpenter,22
R12,"Tillman, Leannon and Rau",Marquette,13
R13,Cronin LLC,Green,17
R14,Cassin-Deckow,Farwell,18
R15,"Volkman, Nolan and Hahn",Farwell,23
R16,Ernser-Reichel,American,5
R17,Kertzmann Inc,Green,11
R18,"Roberts, Nienow and Champlin",Green,22
R19,"Hamill, Wisozk and Howe",Debra,10
R20,Kub and Sons,Stuart,10
R21,Gorczany-Gleason,Green,13
R22,Cremin-Barrows,Upham,14
R23,Witting-Feest,Laurel,17
R24,"Bayer, Green and Kemmer",Elmside,5
R25,Fritsch Inc,Green,24
R26,"Wintheiser, Yost and Senger",South,22
R27,"Kozey, Kihn and Marquardt",Green,21
R28,Welch-Prosacco,Cody,9
